Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SNJBRO,442.825,+,5,Tone,110.9,110.9,023,NN,FM,5.00,,Andytown,,,,
1,WFTFRA,444.4,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,Apalachicola,,,,
2,CLMHER,444.825,+,5,Tone,146.2,146.2,023,NN,FM,5.00,,Brooksville,,,,
3,CMLOSC,444.975,+,5,Tone,107.2,107.2,023,NN,FM,5.00,,Central Turnpike,,,,
4,WGUGAD,444.975,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,Chattahoochee,,,,
5,WFVWAG,444.75,+,5,Tone,100,100,023,NN,FM,5.00,,Chipley,,,,
6,CMMLAK,444.975,+,5,Tone,103.5,103.5,023,NN,FM,5.00,,Clermont,,,,
7,CNMBRE,444.65,+,5,Tone,107.2,107.2,023,NN,FM,5.00,,Cocoa,,,,
8,WEVOKA,444.9,+,5,Tone,100,100,023,NN,FM,5.00,,Crestview,,,,
9,SNJBRO,442.85,+,5,Tone,110.9,110.9,023,NN,FM,5.00,,Ft. Lauderdale,,,,
10,SNJDAD,442.05,+,5,Tone,114.8,114.8,023,NN,FM,5.00,,Florida City,,,,
11,SMKLEE,444.225,+,5,Tone,136.5,136.5,023,NN,FM,5.00,,Ft. Myers,,,,
12,NLNALC,444.925,+,5,Tone,123,123,023,NN,FM,5.00,,Gainesville,,,,
13,KNHMON,442.85,+,5,Tone,114.8,114.8,023,NN,FM,5.00,,Islamorada,,,,
14,NMPDUV,444.7,+,5,Tone,127.3,127.3,023,NN,FM,5.00,,Jacksonville,,,,
15,NLPCLM,444.9,+,5,Tone,110.9,110.9,023,NN,FM,5.00,,Lake City,,,,
16,CMMPOL,442.275,+,5,Tone,82.5,82.5,023,NN,FM,5.00,,Lakeland,,,,
17,NLPSUW,443.7,+,5,Tone,110.9,110.9,023,NN,FM,5.00,,Live Oak,,,,
18,NKPMAD,444.3,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,Madison,,,,
19,SNJDAD,444.6,+,5,Tone,167.9,167.9,023,NN,FM,5.00,,Miami,,,,
20,WDUSAN,444.725,+,5,Tone,100,100,023,NN,FM,5.00,,Milton,,,,
21,SMJCLR,444.95,+,5,Tone,103.5,103.5,023,NN,FM,5.00,,Naples,,,,
22,NLNMAO,444.025,+,5,Tone,123,123,023,NN,FM,5.00,,Ocala,,,,
23,CMMORA,444.075,+,5,Tone,103.5,103.5,023,NN,FM,5.00,,Orlando,,,,
24,SNKPAL,443.975,+,5,Tone,110.9,110.9,023,NN,FM,5.00,,Palm Beach,,,,
25,WFUBAY,444.175,+,5,Tone,100,100,023,NN,FM,5.00,,Panama City,,,,
26,NKPTAY,443.1,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,Perry,,,,
27,CLLSAR,444.8,+,5,Tone,100,100,023,NN,FM,5.00,,Sarasota,,,,
28,CNLBRE,444.375,+,5,Tone,107.2,107.2,023,NN,FM,5.00,,Sebastian,,,,
29,WGULEO,443.5,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,State Emergency Operations Center (SEOC),,,,
30,CLLPIN,442.25,+,5,Tone,146.2,146.2,023,NN,FM,5.00,,Skyway Bridge,,,,
31,NMPSTJ,442.8,+,5,Tone,127.3,127.3,023,NN,FM,5.00,,St. Augustine,,,,
32,CNLMRT,444.15,+,5,Tone,107.2,107.2,023,NN,FM,5.00,,Stuart,,,,
33,WGULEO,442.1,+,5,Tone,94.8,94.8,023,NN,FM,5.00,,Tallahassee,,,,
34,CLLHIL,442.85,+,5,Tone,146.2,146.2,023,NN,FM,5.00,,Tampa,,,,
35,NMPNAS,442.9,+,5,Tone,127.3,127.3,023,NN,FM,5.00,,Yulee,,,,
