"Site Name","Memory Label","TX (MHz)","Tone (Hz)","Built","Type","County","Region","Grid Zone","100 Km ID","Status","Notes","Last Update"
"Andytown","SNJBRO",442.825,110.9,"Yes","Repeater (FB2)","Broward","South","17R","NJ","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Apalachicola","WFTFRA",444.4,94.8,"Yes","Repeater (FB2)","Franklin","West","16R","FT","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Brooksville","CLMHER",444.825,146.2,"Yes","Repeater (FB2)","Hernando","Central","17R","LM","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Central Turnpike","CMLOSC",444.975,107.2,"Yes","Repeater (FB2)","Osceola","Central","17R","ML","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Chattahoochee","WGUGAD",444.975,94.8,"Yes","Repeater (FB2)","Gadsden","West","16R","GU","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Chiefland","NLNLEV",0,0,"No","Repeater (FB2)","Levy","North","17R","LN","Off-Air","Site is in planning stage.","5/3/2021, 12:00:06 AM"
"Chipley","WFVWAG",444.75,100,"Yes","Repeater (FB2)","Washington","West","16R","FV","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Clermont","CMMLAK",444.975,103.5,"Yes","Repeater (FB2)","Lake","Central","17R","MM","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Cocoa","CNMBRE",444.65,107.2,"Yes","Repeater (FB2)","Brevard","Central","17R","NM","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Crestview","WEVOKA",444.9,100,"Yes","Repeater (FB2)","Okaloosa","West","16R","EV","On-Air","Site is operational. Frequency will be changed to avoid interference with Alabama site.","5/3/2021, 12:00:06 AM"
"Daytona","NMNVOL",442.875,123,"No","Control Station (FX1)","Volusia","North","17R","MN","Off-Air","Site is pending FDOT approval.","5/3/2021, 12:00:06 AM"
"Dundee","CMLPOL",444.35,103.5,"No","Repeater (FB2)","Polk","Central","17R","ML","Off-Air","Frequency has been selected. Site is in planning stages.","5/3/2021, 12:00:06 AM"
"Estero","SMKLEE",0,0,"No","Repeater (FB2)","Lee","South","17R","MK","Off-Air","Site is pending FDOT approval.","5/3/2021, 12:00:06 AM"
"Ft. Lauderdale","SNJBRO",442.85,110.9,"Yes","Repeater (FB2)","Broward","South","17R","NJ","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Florida City","SNJDAD",442.05,114.8,"Yes","Repeater (FB2)","Miami-Dade","South","17R","NJ","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
"Ft. Myers","SMKLEE",444.225,136.5,"Yes","Repeater (FB2)","Lee","South","17R","MK","On-Air","Site is operational.","5/3/2021, 12:00:06 AM"
