"Site Name","Memory Label","TX (MHz)","Tone (Hz)","Built","Type","County","Region","Grid Zone","100 Km ID","Status","Notes","Last Update"
"Andytown","SNJBRO",442.825,110.90,"Yes","Repeater (FB2)","Broward","South","17R","NJ","$SNJBRO_status","$SNJBRO_notes","$SNJBRO_update"
"Apalachicola","WFTFRA",444.400,94.80,"Yes","Repeater (FB2)","Franklin","West","16R","FT","$WFTFRA_status","$WFTFRA_notes","$WFTFRA_update"
"Brooksville","CLMHER",444.825,146.20,"Yes","Repeater (FB2)","Hernando","Central","17R","LM","$CLMHER_status","$CLMHER_notes","$CLMHER_update"
"Central Turnpike","CMLOSC",444.975,107.20,"Yes","Repeater (FB2)","Osceola","Central","17R","ML","$CMLOSC_status","$CMLOSC_notes","$CMLOSC_update"
"Chattahoochee","WGUGAD",444.975,94.80,"Yes","Repeater (FB2)","Gadsden","West","16R","GU","$WGUGAD_status","$WGUGAD_notes","$WGUGAD_update"
"Chiefland","NLNLEV","TBD","TBD","No","Repeater (FB2)","Levy","North","17R","LN","$NLNLEV_status","$NLNLEV_notes","$NLNLEV_update"
"Chipley","WFVWAG",444.750,100.00,"Yes","Repeater (FB2)","Washington","West","16R","FV","$WFVWAG_status","$WFVWAG_notes","$WFVWAG_update"
"Clermont","CMMLAK",444.975,103.50,"Yes","Repeater (FB2)","Lake","Central","17R","MM","$CMMLAK_status","$CMMLAK_notes","$CMMLAK_update"
"Cocoa","CNMBRE",444.650,107.20,"Yes","Repeater (FB2)","Brevard","Central","17R","NM","$CNMBRE_status","$CNMBRE_notes","$CNMBRE_update"
"Crestview","WEVOKA",444.900,100.00,"Yes","Repeater (FB2)","Okaloosa","West","16R","EV","$WEVOKA_status","$WEVOKA_notes","$WEVOKA_update"
"Daytona","NMNVOL",442.875,123.00,"No","Control Station (FX1)","Volusia","North","17R","MN","$NMNVOL_status","$NMNVOL_notes","$NMNVOL_update"
"Dundee","CMLPOL",444.350,103.50,"No","Repeater (FB2)","Polk","Central","17R","ML","$CMLPOL_status","$CMLPOL_notes","$CMLPOL_update"
"Estero","SMKLEE","TBD","TBD","No","Repeater (FB2)","Lee","South","17R","MK","$SMKLEE_status","$SMKLEE_notes","$SMKLEE_update"
